GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ACA 1095B - Error Reporting,us.gov.treasury.irs.ext.aca.air._7.impl,ExemptionImpl,14,0,2,0,4,0,3,0,2,0
ACA 1095B - Error Reporting,us.gov.treasury.irs.ext.aca.air._7.impl,Form1094CUpstreamDetailImpl,183,0,4,0,73,0,49,0,47,0
ACA 1095B - Error Reporting,us.gov.treasury.irs.ext.aca.air._7.impl,ACATransmitterResponseAckGrpImpl,17,0,0,0,7,0,5,0,5,0
ACA 1095B - Error Reporting,us.gov.treasury.irs.ext.aca.air._7.impl,ACABulkRequestTransmitterResponseImpl,37,0,2,0,15,0,10,0,9,0
ACA 1095B - Error Reporting,us.gov.treasury.irs.ext.aca.air._7.impl,SHOPExchangePersonTypeImpl,18,0,0,0,7,0,5,0,5,0
ACA 1095B - Error Reporting,us.gov.treasury.irs.ext.aca.air._7.impl,Employer1095CDetailImpl,43,0,2,0,16,0,11,0,10,0
ACA 1095B - Error Reporting,us.gov.treasury.irs.ext.aca.air._7.impl,CoveredIndvidualMonthlyDetailImpl,51,0,2,0,19,0,13,0,12,0
ACA 1095B - Error Reporting,us.gov.treasury.irs.ext.aca.air._7.impl,CoverageHouseholdGrpImpl,14,0,2,0,4,0,3,0,2,0
ACA 1095B - Error Reporting,us.gov.treasury.irs.ext.aca.air._7.impl,EmployeeESHMonthlyEnrollmentGrpImpl,25,0,4,0,7,0,5,0,3,0
ACA 1095B - Error Reporting,us.gov.treasury.irs.ext.aca.air._7.impl,JAXBContextFactory,135,0,12,0,31,0,10,0,4,0
ACA 1095B - Error Reporting,us.gov.treasury.irs.ext.aca.air._7.impl,Form1094BUpstreamDetailImpl,136,0,2,0,55,0,37,0,36,0
ACA 1095B - Error Reporting,us.gov.treasury.irs.ext.aca.air._7.impl,ACATransmitterSubmissionDetailImpl,5,9,1,1,1,3,1,2,0,2
ACA 1095B - Error Reporting,us.gov.treasury.irs.ext.aca.air._7.impl,MonthlySafeHarborCdTypeImpl,87,0,0,0,37,0,25,0,25,0
ACA 1095B - Error Reporting,us.gov.treasury.irs.ext.aca.air._7.impl,SponsoringEmployerDetailImpl,36,0,2,0,13,0,9,0,8,0
ACA 1095B - Error Reporting,us.gov.treasury.irs.ext.aca.air._7.impl,YearlyALEMemberDetailImpl,38,0,0,0,16,0,11,0,11,0
ACA 1095B - Error Reporting,us.gov.treasury.irs.ext.aca.air._7.impl,EmployeeSHOPPolicyImpl,50,0,2,0,19,0,13,0,12,0
ACA 1095B - Error Reporting,us.gov.treasury.irs.ext.aca.air._7.impl,CoveredIndividualMonthlyIndGrpImpl,87,0,0,0,37,0,25,0,25,0
ACA 1095B - Error Reporting,us.gov.treasury.irs.ext.aca.air._7.impl,JAXBContextFactory.new PrivilegedAction() {...},10,0,0,0,2,0,2,0,2,0
ACA 1095B - Error Reporting,us.gov.treasury.irs.ext.aca.air._7.impl,MonthlyMECMinimumValueOfferedGrpImpl,25,0,4,0,7,0,5,0,3,0
ACA 1095B - Error Reporting,us.gov.treasury.irs.ext.aca.air._7.impl,AggregatedGroupMemberTypeImpl,18,0,0,0,7,0,5,0,5,0
ACA 1095B - Error Reporting,us.gov.treasury.irs.ext.aca.air._7.impl,EmployeeDetailImpl,52,0,2,0,19,0,13,0,12,0
ACA 1095B - Error Reporting,us.gov.treasury.irs.ext.aca.air._7.impl,EmployeeInfoGrpImpl,40,0,0,0,16,0,11,0,11,0
ACA 1095B - Error Reporting,us.gov.treasury.irs.ext.aca.air._7.impl,VendorInformationGrpImpl,25,0,0,0,10,0,7,0,7,0
ACA 1095B - Error Reporting,us.gov.treasury.irs.ext.aca.air._7.impl,CorrectedSubmissionInfoGrpImpl,25,0,0,0,10,0,7,0,7,0
ACA 1095B - Error Reporting,us.gov.treasury.irs.ext.aca.air._7.impl,ResponsibleIndividualGrpImpl,61,0,0,0,25,0,17,0,17,0
ACA 1095B - Error Reporting,us.gov.treasury.irs.ext.aca.air._7.impl,RecipientMonthlyPolicyInfoImpl,24,0,0,0,10,0,7,0,7,0
ACA 1095B - Error Reporting,us.gov.treasury.irs.ext.aca.air._7.impl,ALEMemberInformationGrpImpl,107,0,0,0,40,0,27,0,27,0
ACA 1095B - Error Reporting,us.gov.treasury.irs.ext.aca.air._7.impl,RecipientPolicyInfoDetailImpl,33,0,4,0,10,0,7,0,5,0
ACA 1095B - Error Reporting,us.gov.treasury.irs.ext.aca.air._7.impl,ACABatchSubmsnReqGrpDetailTypeImpl,24,0,0,0,10,0,7,0,7,0
ACA 1095B - Error Reporting,us.gov.treasury.irs.ext.aca.air._7.impl,ForeignAddressGrpImpl,52,0,0,0,22,0,15,0,15,0
ACA 1095B - Error Reporting,us.gov.treasury.irs.ext.aca.air._7.impl,Month1095CMECIndicatorDetailImpl,17,0,0,0,7,0,5,0,5,0
ACA 1095B - Error Reporting,us.gov.treasury.irs.ext.aca.air._7.impl,ACABatchSubmsnDtlReqGrpDtlTypeImpl,17,0,0,0,7,0,5,0,5,0
ACA 1095B - Error Reporting,us.gov.treasury.irs.ext.aca.air._7.impl,ObjectFactory,3860,0,0,0,594,0,346,0,346,0
ACA 1095B - Error Reporting,us.gov.treasury.irs.ext.aca.air._7.impl,TotalMonthlyAmountsGrpTypeImpl,25,0,4,0,7,0,5,0,3,0
ACA 1095B - Error Reporting,us.gov.treasury.irs.ext.aca.air._7.impl,Form1095BUpstreamDetailImpl,88,0,2,0,34,0,23,0,22,0
ACA 1095B - Error Reporting,us.gov.treasury.irs.ext.aca.air._7.impl,ACATransmitterBusinessHeaderResponseImpl,17,0,0,0,7,0,5,0,5,0
ACA 1095B - Error Reporting,us.gov.treasury.irs.ext.aca.air._7.impl,MonthlyOfferCoverageGrpImpl,87,0,0,0,37,0,25,0,25,0
ACA 1095B - Error Reporting,us.gov.treasury.irs.ext.aca.air._7.impl,MonthSafeHarborIndicatorDetailImpl,17,0,0,0,7,0,5,0,5,0
ACA 1095B - Error Reporting,us.gov.treasury.irs.ext.aca.air._7.impl,CoveredIndividualImpl,25,0,0,0,10,0,7,0,7,0
ACA 1095B - Error Reporting,us.gov.treasury.irs.ext.aca.air._7.impl,ACABulkReqTrnsmtReqGrpHeaderImpl,38,0,0,0,16,0,11,0,11,0
ACA 1095B - Error Reporting,us.gov.treasury.irs.ext.aca.air._7.impl,CoveredIndividualDetailImpl,58,0,2,0,22,0,15,0,14,0
ACA 1095B - Error Reporting,us.gov.treasury.irs.ext.aca.air._7.impl,SHOPEmployeeImpl,14,0,2,0,4,0,3,0,2,0
ACA 1095B - Error Reporting,us.gov.treasury.irs.ext.aca.air._7.impl,ACABulkBusinessHeaderRequestTypeImpl,32,0,0,0,12,0,8,0,8,0
ACA 1095B - Error Reporting,us.gov.treasury.irs.ext.aca.air._7.impl,MonthCoveredIndivIndDetailImpl,17,0,0,0,7,0,5,0,5,0
ACA 1095B - Error Reporting,us.gov.treasury.irs.ext.aca.air._7.impl,IssuerInfoGrpImpl,47,0,0,0,19,0,13,0,13,0
ACA 1095B - Error Reporting,us.gov.treasury.irs.ext.aca.air._7.impl,ACABulkReqTrnsmtStsReqGrpDtlImpl,10,0,0,0,4,0,3,0,3,0
ACA 1095B - Error Reporting,us.gov.treasury.irs.common.impl,ForeignAddressErrorDtlImpl,14,0,2,0,4,0,3,0,2,0
ACA 1095B - Error Reporting,us.gov.treasury.irs.common.impl,CoveredIndividualErrorDtlImpl,22,0,2,0,7,0,5,0,4,0
ACA 1095B - Error Reporting,us.gov.treasury.irs.common.impl,ACABatchManifestDetailImpl,35,0,0,0,13,0,9,0,9,0
ACA 1095B - Error Reporting,us.gov.treasury.irs.common.impl,CompletePersonNameErrorDtlImpl,14,0,2,0,4,0,3,0,2,0
ACA 1095B - Error Reporting,us.gov.treasury.irs.common.impl,ServiceMetadataDetailImpl,122,0,0,0,52,0,35,0,35,0
ACA 1095B - Error Reporting,us.gov.treasury.irs.common.impl,SHOPEmployerErrorDtlImpl,43,0,6,0,13,0,9,0,6,0
ACA 1095B - Error Reporting,us.gov.treasury.irs.common.impl,InsuranceCoverageErrorDtlImpl,25,0,4,0,7,0,5,0,3,0
ACA 1095B - Error Reporting,us.gov.treasury.irs.common.impl,PersonInformationErrorDtlTypeImpl,30,0,2,0,10,0,7,0,6,0
ACA 1095B - Error Reporting,us.gov.treasury.irs.common.impl,SHOPEmployeeErrorDtlImpl,25,0,4,0,7,0,5,0,3,0
ACA 1095B - Error Reporting,us.gov.treasury.irs.common.impl,USAddressErrorDtlImpl,14,0,2,0,4,0,3,0,2,0
ACA 1095B - Error Reporting,us.gov.treasury.irs.common.impl,InsuranceCoverageImpl,77,0,2,0,31,0,21,0,20,0
ACA 1095B - Error Reporting,us.gov.treasury.irs.common.impl,SHOPExchPersonErrorDtlTypeImpl,22,0,2,0,7,0,5,0,4,0
ACA 1095B - Error Reporting,us.gov.treasury.irs.common.impl,JAXBContextFactory.new PrivilegedAction() {...},10,0,0,0,2,0,2,0,2,0
ACA 1095B - Error Reporting,us.gov.treasury.irs.common.impl,ExemptionImpl,14,0,2,0,4,0,3,0,2,0
ACA 1095B - Error Reporting,us.gov.treasury.irs.common.impl,ReportPeriodDateImpl,17,0,0,0,7,0,5,0,5,0
ACA 1095B - Error Reporting,us.gov.treasury.irs.common.impl,ExemptionCoverageImpl,39,0,0,0,16,0,11,0,11,0
ACA 1095B - Error Reporting,us.gov.treasury.irs.common.impl,ACABulkBatchManifestDetailImpl,18,0,0,0,7,0,5,0,5,0
ACA 1095B - Error Reporting,us.gov.treasury.irs.common.impl,CoveredIndividualImpl,25,0,0,0,10,0,7,0,7,0
ACA 1095B - Error Reporting,us.gov.treasury.irs.common.impl,IndividualExchangeErrorImpl,32,0,4,0,10,0,7,0,5,0
ACA 1095B - Error Reporting,us.gov.treasury.irs.common.impl,JAXBContextFactory,135,0,12,0,31,0,10,0,4,0
ACA 1095B - Error Reporting,us.gov.treasury.irs.common.impl,BusinessNameErrorDtlImpl,14,0,2,0,4,0,3,0,2,0
ACA 1095B - Error Reporting,us.gov.treasury.irs.common.impl,SHOPEmployeeImpl,14,0,2,0,4,0,3,0,2,0
ACA 1095B - Error Reporting,us.gov.treasury.irs.common.impl,EPDPersonErrorDtlTypeImpl,22,0,2,0,7,0,5,0,4,0
ACA 1095B - Error Reporting,us.gov.treasury.irs.common.impl,SHOPExchangeErrorImpl,32,0,4,0,10,0,7,0,5,0
ACA 1095B - Error Reporting,us.gov.treasury.irs.common.impl,ErrorMessageDetailImpl,24,0,0,0,10,0,7,0,7,0
ACA 1095B - Error Reporting,us.gov.treasury.irs.common.impl,OtherCompletePersonNameImpl,31,0,0,0,13,0,9,0,9,0
ACA 1095B - Error Reporting,us.gov.treasury.irs.common.impl,IRSHouseholdErrorDtlImpl,54,0,8,0,16,0,11,0,7,0
ACA 1095B - Error Reporting,us.gov.treasury.irs.common.impl,SHOPEmployerInfoErrorDtlImpl,30,0,2,0,10,0,7,0,6,0
ACA 1095B - Error Reporting,us.gov.treasury.irs.common.impl,EmployeeCoverageErrorDtlImpl,30,0,2,0,10,0,7,0,6,0
ACA 1095B - Error Reporting,us.gov.treasury.irs.common.impl,WarningMessageDetailImpl,24,0,0,0,10,0,7,0,7,0
ACA 1095B - Error Reporting,us.gov.treasury.irs.common.impl,InsurancePolicyImpl,14,0,2,0,4,0,3,0,2,0
ACA 1095B - Error Reporting,us.gov.treasury.irs.common.impl,DependentInfoErrorsGrpImpl,33,0,4,0,10,0,7,0,5,0
ACA 1095B - Error Reporting,us.gov.treasury.irs.common.impl,ACAAttachmentDetailImpl,45,0,0,0,19,0,13,0,13,0
ACA 1095B - Error Reporting,us.gov.treasury.irs.common.impl,SHOPExchangePersonTypeImpl,18,0,0,0,7,0,5,0,5,0
ACA 1095B - Error Reporting,us.gov.treasury.irs.common.impl,InsurancePolicyErrorDtlImpl,25,0,4,0,7,0,5,0,3,0
ACA 1095B - Error Reporting,us.gov.treasury.irs.common.impl,ExemptionErrorDtlImpl,25,0,4,0,7,0,5,0,3,0
ACA 1095B - Error Reporting,us.gov.treasury.irs.common.impl,AssociatedPolicyImpl,45,0,0,0,19,0,13,0,13,0
ACA 1095B - Error Reporting,us.gov.treasury.irs.common.impl,AggregatedGroupMemberTypeImpl,18,0,0,0,7,0,5,0,5,0
ACA 1095B - Error Reporting,us.gov.treasury.irs.common.impl,ACAReportingServiceDetailImpl,11,0,0,0,4,0,3,0,3,0
ACA 1095B - Error Reporting,us.gov.treasury.irs.common.impl,ExemptionCoverageErrorDtlImpl,22,0,2,0,7,0,5,0,4,0
ACA 1095B - Error Reporting,us.gov.treasury.irs.common.impl,EmployerPlansOfferedErrorDtlImpl,14,0,2,0,4,0,3,0,2,0
ACA 1095B - Error Reporting,us.gov.treasury.irs.common.impl,ObjectFactory,3042,0,0,0,463,0,264,0,264,0
ACA 1095B - Error Reporting,us.gov.treasury.irs.common.impl,BusinessAddressErrorDtlImpl,30,0,2,0,10,0,7,0,6,0
ACA 1095B - Error Reporting,us.gov.treasury.irs.common.impl,EmployerMECErrorDtlImpl,30,0,2,0,10,0,7,0,6,0
ACA 1095B - Error Reporting,us.gov.treasury.irs.common.impl,EmployerPlansOfferedImpl,38,0,0,0,16,0,11,0,11,0
ACA 1095B - Error Reporting,us.gov.treasury.irs.common.impl,ACABatchManifestResponseDetailImpl,39,0,0,0,16,0,11,0,11,0
ACA 1095B - Error Reporting,us.gov.treasury.irs.common.impl,EmployeeCoverageImpl,40,0,0,0,16,0,11,0,11,0
ACA 1095B - Error Reporting,us.gov.treasury.irs.common.impl,ACABatchTransmissionDetailImpl,17,0,0,0,7,0,5,0,5,0
ACA 1095B - Error Reporting,us.gov.treasury.irs.common.impl,ACABatchManifestDetailListImpl,14,0,2,0,4,0,3,0,2,0
ACA 1095B - Error Reporting,us.gov.treasury.irs.common.impl,EmployeeSHOPPolicyImpl,50,0,2,0,19,0,13,0,12,0
ACA 1095B - Error Reporting,us.gov.treasury.irs.common.impl,TaxHouseholdErrorDtlImpl,25,0,4,0,7,0,5,0,3,0
ACA 1095B - Error Reporting,us.gov.treasury.irs.common.impl,EmployeeSHOPPolicyErrorDtlImpl,33,0,4,0,10,0,7,0,5,0
ACA 1095B - Error Reporting,us.gov.treasury.irs.common.impl,TaxHouseholdCoverageErrorDtlImpl,30,0,2,0,10,0,7,0,6,0
ACA 1095B - Error Reporting,us.gov.treasury.irs.common.impl,AssociatedPolicyErrorDtlImpl,14,0,2,0,4,0,3,0,2,0
ACA 1095B - Error Reporting,us.gov.treasury.irs.common.impl,ACABusinessHeaderDetailImpl,29,0,2,0,12,0,8,0,7,0
ACA 1095B - Error Reporting,us.gov.treasury.irs.common.impl,RejectedFileDtlImpl,17,0,0,0,7,0,5,0,5,0
ACA 1095B - Error Reporting,us.gov.treasury.irs.common.impl,CoverageHouseholdImpl,14,0,2,0,4,0,3,0,2,0
ACA 1095B - Error Reporting,us.gov.treasury.irs.common.impl,SHOPExchangeErrorDtlImpl,32,0,4,0,10,0,7,0,5,0
ACA 1095B - Error Reporting,us.gov.treasury.irs.common.impl,SpouseInfoErrorsGrpImpl,33,0,4,0,10,0,7,0,5,0
ACA 1095B - Error Reporting,us.gov.treasury.irs.common.impl,EPDPersonTypeImpl,25,0,0,0,10,0,7,0,7,0
ACA 1095B - Error Reporting,us.gov.treasury.irs.common.impl,EmployeeRosterErrorDtlImpl,33,0,4,0,10,0,7,0,5,0
ACA 1095B - Error Reporting,us.gov.treasury.irs.common.impl,HouseholdErrorDtlImpl,52,0,6,0,16,0,11,0,8,0
ACA 1095B - Error Reporting,us.gov.treasury.irs.common.impl,EPDErrorDetailTypeImpl,31,0,0,0,13,0,9,0,9,0
ACA 1095B - Error Reporting,us.gov.treasury.irs.common.impl,PrimaryInfoErrorsGrpImpl,33,0,4,0,10,0,7,0,5,0
ACA 1095B - Error Reporting,us.gov.treasury.irs.common.impl,ACABatchDetailImpl,38,0,0,0,16,0,11,0,11,0
ACA 1095B - Error Reporting,us.gov.treasury.irs.common.impl,WindowCloseNotificationServiceDetailImpl,24,0,0,0,10,0,7,0,7,0
ACA 1095B - Error Reporting,us.deloitteinnovation.aca.batch.listeners,ItemReaderListener,60,59,1,3,13,10,4,4,3,3
ACA 1095B - Error Reporting,us.deloitteinnovation.aca.batch.listeners,RecordSkipListener,76,0,6,0,12,0,8,0,5,0
ACA 1095B - Error Reporting,us.deloitteinnovation.aca.batch.listeners,IrsErrorHandlingProtocolListener,159,0,8,0,31,0,8,0,4,0
